Rank,Town,,Population,White,Black,Asian,AmericanIndian,Other,Hispanic
1,Bridgeport,City,"143,412",49.8%,35.9%,3.9%,0.6%,11.8%,36.7%
2,Stamford,City,"121,784",61.0%,15.5%,8.7%,0.3%,16.3%,24.4%
3,Norwalk,City,"85,145",77.2%,14.0%,4.3%,0.6%,6.0%,20.2%
4,Danbury,City,"80,101",74.2%,8.7%,6.5%,1.2%,13.0%,25.1%
5,Greenwich,Town,"61,023",87.1%,2.3%,7.6%,0.2%,3.9%,9.0%
6,Fairfield,Town,"59,078",92.9%,1.8%,5.0%,0.2%,1.4%,4.4%
7,Stratford,Town,"51,116",79.5%,14.2%,3.7%,0.5%,4.1%,15.3%
8,Shelton,City,"39,310",92.6%,2.0%,2.5%,0.3%,3.1%,7.1%
9,Trumbull,Town,"35,752",91.9%,2.4%,5.4%,0.2%,1.5%,6.0%
10,Newtown,Town,"27,235",92.7%,2.0%,3.4%,0.5%,3.0%,6.0%
11,Westport,Town,"26,249",93.3%,1.4%,5.4%,0.1%,1.5%,3.6%
12,Ridgefield,Town,"24,469",96.0%,1.0%,3.2%,0.3%,0.7%,3.2%
13,Darien,Town,"20,580",95.2%,0.8%,3.8%,0.1%,1.3%,3.7%
14,New Canaan,Town,"19,642",96.4%,1.0%,2.5%,0.3%,0.8%,1.8%
15,Monroe,Town,"19,398",96.9%,0.2%,2.4%,0.1%,0.7%,4.5%
16,Bethel,Town,"18,584",90.5%,2.5%,5.1%,0.4%,3.5%,7.6%
17,Wilton,Town,"17,973",93.2%,1.2%,5.7%,0.0%,1.0%,2.8%
18,Brookfield,Town,"16,339",92.0%,1.6%,6.1%,0.4%,0.9%,4.4%
19,New Fairfield,Town,"13,847",95.3%,0.6%,0.9%,0.6%,3.6%,6.5%
20,Weston,Town,"10,142",96.1%,1.7%,3.0%,0.6%,0.8%,2.9%
21,Redding,Town,"9,058",95.7%,1.8%,2.8%,2.1%,0.3%,2.6%
22,Easton,Town,"7,452",96.7%,1.3%,2.5%,0.0%,0.0%,2.2%
23,Sherman,Town,"3,598",100.0%,0.0%,0.0%,0.0%,0.0%,1.6%
24,Newtown,Borough,"2,035",97.7%,0.8%,2.0%,0.9%,0.5%,2.7%
