Rank,Town,,Population,White,Black,Asian,AmericanIndian,Other,Hispanic
1,Hartford,City,"124,817",35.1%,39.8%,2.9%,1.5%,25.1%,42.4%
2,New Britain,City,"73,055",68.2%,15.3%,2.7%,0.5%,17.2%,34.8%
3,West Hartford,Town,"63,066",84.6%,7.4%,8.2%,0.7%,2.3%,9.1%
4,Bristol,City,"60,473",90.0%,5.1%,2.3%,0.8%,4.9%,9.5%
5,Manchester,Town,"57,897",77.0%,11.7%,7.8%,0.6%,5.6%,12.5%
6,East Hartford,Town,"51,091",54.4%,25.4%,7.3%,0.9%,15.5%,25.7%
7,Enfield,Town,"44,747",88.5%,7.4%,2.1%,0.4%,3.5%,7.2%
8,Southington,Town,"42,731",96.3%,1.2%,1.8%,0.2%,1.0%,3.4%
9,Glastonbury,Town,"34,171",87.7%,4.1%,7.0%,0.4%,2.2%,4.6%
10,Newington,Town,"30,441",86.9%,6.0%,6.3%,0.6%,2.5%,7.2%
11,Windsor,Town,"28,962",56.4%,37.6%,5.0%,0.5%,3.7%,8.4%
12,Wethersfield,Town,"26,641",92.4%,3.4%,1.8%,0.5%,3.3%,8.8%
13,South Windsor,Town,"25,577",84.7%,5.2%,8.4%,0.4%,2.9%,5.3%
14,Farmington,Town,"25,186",90.0%,3.0%,7.8%,0.4%,0.3%,1.3%
15,Simsbury,Town,"23,498",94.3%,2.3%,4.0%,0.5%,0.4%,2.3%
16,Bloomfield,Town,"20,406",40.1%,59.0%,1.7%,2.6%,1.4%,3.7%
17,Berlin,Town,"19,694",94.3%,1.5%,2.7%,0.4%,1.9%,2.7%
18,Rocky Hill,Town,"19,533",78.7%,4.9%,13.9%,1.6%,3.2%,6.5%
19,Avon,Town,"17,859",90.5%,2.3%,8.0%,0.5%,1.0%,4.2%
20,Plainville,Town,"17,670",95.7%,2.9%,2.3%,0.3%,1.0%,4.7%
21,Suffield,Town,"15,513",86.3%,9.6%,1.5%,1.5%,4.0%,5.8%
22,Windsor Locks,Town,"12,466",89.1%,4.2%,6.0%,1.1%,1.2%,3.6%
23,Granby,Town,"11,192",96.1%,2.7%,1.2%,0.1%,1.3%,4.0%
24,East Windsor,Town,"11,024",83.2%,10.2%,6.9%,0.6%,0.9%,5.5%
25,Canton,Town,"10,139",99.0%,0.6%,1.1%,0.5%,0.4%,2.6%
26,Burlington,Town,"9,191",97.8%,1.1%,1.5%,0.1%,0.3%,2.5%
27,Marlborough,Town,"6,335",98.8%,1.0%,0.5%,0.7%,0.5%,1.6%
28,East Granby,Town,"5,055",89.9%,2.4%,6.9%,0.2%,1.3%,4.3%
29,Hartland,Town,"2,158",97.5%,0.9%,2.1%,0.4%,0.2%,0.3%
