Rank,Town,,Population,White,Black,Asian,AmericanIndian,Other,Hispanic
1,Torrington,City,"36,380",93.6%,3.5%,2.9%,1.1%,1.8%,6.8%
2,New Milford,Town,"28,122",92.6%,3.9%,2.7%,0.6%,1.8%,5.2%
3,Watertown,Town,"22,502",96.1%,1.6%,2.2%,0.6%,0.9%,2.5%
4,Plymouth,Town,"12,218",98.1%,1.1%,0.0%,1.4%,1.0%,3.6%
5,Winchester,Town,"11,216",95.3%,1.3%,1.4%,0.8%,2.6%,9.9%
6,Woodbury,Town,"9,928",97.9%,0.6%,1.8%,0.7%,0.3%,4.0%
7,Litchfield,Town,"8,484",97.6%,1.5%,1.2%,0.2%,0.7%,3.1%
8,Thomaston,Town,"7,862",98.0%,1.2%,0.9%,1.0%,0.7%,1.4%
9,Winsted,City,"7,402",93.3%,1.5%,1.9%,1.3%,3.7%,13.2%
10,New Hartford,Town,"6,901",96.0%,0.6%,3.9%,0.0%,0.0%,0.7%
11,Harwinton,Town,"5,618",97.7%,0.0%,2.3%,0.5%,0.0%,0.0%
12,Barkhamsted,Town,"3,783",99.8%,0.4%,0.2%,0.0%,0.0%,0.3%
13,Salisbury,Town,"3,783",95.3%,2.6%,3.8%,1.3%,2.0%,2.2%
14,Bethlehem,Town,"3,596",99.4%,0.1%,0.8%,0.2%,0.0%,0.9%
15,Washington,Town,"3,586",94.0%,2.9%,0.9%,0.2%,3.0%,9.6%
16,North Canaan,Town,"3,329",96.3%,1.4%,2.3%,0.0%,0.0%,2.2%
17,Kent,Town,"2,982",98.5%,0.3%,0.8%,0.7%,0.0%,0.3%
18,Goshen,Town,"2,957",99.1%,0.1%,0.7%,0.4%,0.2%,5.5%
19,Sharon,Town,"2,804",92.0%,0.4%,1.4%,0.3%,6.8%,8.5%
20,Morris,Town,"2,411",99.0%,1.0%,0.0%,0.0%,0.0%,0.4%
21,Roxbury,Town,"2,315",99.0%,0.0%,0.3%,1.3%,0.3%,5.3%
22,Bridgewater,Town,"1,790",96.6%,1.7%,1.3%,0.3%,1.9%,6.2%
23,Norfolk,Town,"1,574",97.2%,0.7%,1.5%,2.1%,0.5%,2.2%
24,Warren,Town,"1,531",98.5%,0.0%,0.9%,0.3%,1.0%,3.0%
25,Cornwall,Town,"1,469",99.0%,0.5%,1.0%,0.0%,0.8%,2.2%
26,Litchfield,Borough,"1,420",98.6%,0.0%,1.9%,0.0%,0.4%,4.2%
27,Colebrook,Town,"1,395",99.4%,0.5%,0.0%,0.8%,0.0%,0.6%
28,Canaan,Town,"1,183",97.5%,1.6%,0.2%,0.2%,1.0%,2.8%
29,Bantam,Borough,731,96.0%,3.6%,1.5%,0.3%,2.2%,4.4%
