Rank,Town,,Population,White,Black,Asian,AmericanIndian,Other,Hispanic
1,Middletown,City,"47,510",79.2%,15.7%,4.9%,0.6%,3.2%,8.1%
2,Cromwell,Town,"13,951",93.2%,3.9%,3.3%,0.3%,0.5%,4.2%
3,Clinton,Town,"13,291",95.8%,0.5%,2.1%,0.2%,1.8%,3.5%
4,East Hampton,Town,"12,926",95.4%,1.6%,1.7%,0.3%,1.9%,3.8%
5,Old Saybrook,Town,"10,307",97.8%,0.7%,1.8%,0.6%,0.0%,0.4%
6,Portland,Town,"9,470",96.2%,2.2%,1.0%,0.2%,1.9%,4.4%
7,East Haddam,Town,"9,069",99.3%,1.2%,0.0%,0.2%,0.7%,0.9%
8,Haddam,Town,"8,267",98.5%,1.5%,0.5%,1.5%,0.2%,2.6%
9,Durham,Town,"7,342",94.7%,0.5%,3.1%,0.2%,3.2%,5.3%
10,Westbrook,Town,"6,891",95.4%,0.5%,4.0%,1.2%,0.0%,4.5%
11,Essex,Town,"6,697",98.8%,0.6%,1.4%,0.1%,0.1%,0.6%
12,Killingworth,Town,"6,499",96.7%,0.0%,7.5%,1.4%,0.7%,3.0%
13,Deep River,Town,"4,652",88.7%,2.0%,0.3%,0.8%,7.5%,8.6%
14,Middlefield,Town,"4,418",94.3%,1.7%,4.2%,0.0%,0.7%,1.5%
15,Chester,Town,"3,984",98.3%,0.4%,1.7%,0.7%,0.0%,2.6%
16,Fenwick,Borough,51,100.0%,5.9%,0.0%,0.0%,0.0%,0.0%
