Rank,Town,,Population,White,Black,Asian,AmericanIndian,Other,Hispanic
1,Vernon,Town,"29,199",88.5%,8.8%,4.0%,0.8%,1.8%,7.1%
2,Mansfield,Town,"26,130",84.4%,6.2%,10.7%,0.3%,1.8%,6.3%
3,Ellington,Town,"15,394",96.0%,1.6%,2.7%,0.3%,0.2%,1.1%
4,Tolland,Town,"14,931",97.2%,1.9%,2.4%,1.5%,0.4%,3.1%
5,Coventry,Town,"12,402",97.1%,1.6%,1.7%,0.6%,0.3%,2.1%
6,Stafford,Town,"12,055",97.4%,1.2%,1.6%,0.6%,0.9%,3.3%
7,Somers,Town,"11,385",85.3%,10.0%,2.8%,0.6%,4.0%,5.8%
8,Hebron,Town,"9,620",99.0%,0.0%,1.6%,0.9%,0.5%,2.4%
9,Willington,Town,"6,070",98.9%,3.7%,0.2%,0.7%,0.2%,2.4%
10,Columbia,Town,"5,449",97.8%,1.9%,1.7%,1.9%,0.4%,2.1%
11,Bolton,Town,"5,006",98.0%,2.9%,0.0%,0.9%,0.8%,4.5%
12,Andover,Town,"3,143",96.5%,3.0%,1.7%,1.3%,0.0%,0.0%
13,Union,Town,990,99.4%,0.0%,0.7%,1.6%,0.0%,1.3%
