Name,Designation,Dateestablished,Land area(square miles),Population(in 2010)[1],Population(in 2020)[1],Change,Form ofgovernment,County,Council of Governments,Native Americanname
Andover,Town,1848,15.46,"3,303","3,151",−4.6%,Town meeting,Tolland County,Capitol Region,
Ansonia,City,1889,6.03,"19,249","18,918",−1.7%,Mayor-council,New Haven County,Naugatuck Valley,
Ashford,Town,1714,38.79,"4,317","4,191",−2.9%,Town meeting,Windham County,Northeast CT,
Avon,Town,1830,23.12,"18,098","18,932",+4.6%,Council-manager,Hartford County,Capitol Region,
Barkhamsted,Town,1779,36.22,"3,799","3,647",−4.0%,Town meeting,Litchfield County,Northwest Hills,
Beacon Falls,Town,1871,9.78,"6,049","6,000",−0.8%,Town meeting,New Haven County,Naugatuck Valley,
Berlin,Town,1785,26.45,"19,866","20,175",+1.6%,Council-manager,Hartford County,Capitol Region,
Bethany,Town,1832,20.97,"5,563","5,297",−4.8%,Town meeting,New Haven County,South Central,
Bethel,Town,1855,16.79,"18,584","20,358",+9.5%,Town meeting,Fairfield County,Western CT,
Bethlehem,Town,1787,19.36,"3,607","3,385",−6.2%,Town meeting,Litchfield County,Naugatuck Valley,
Bloomfield,Town,1835,26.01,"20,486","21,535",+5.1%,Council-manager,Hartford County,Capitol Region,
Bolton,Town,1720,14.41,"4,980","4,858",−2.4%,Town meeting,Tolland County,Capitol Region,
Bozrah,Town,1786,19.97,"2,627","2,429",−7.5%,Town meeting,New London County,Southeastern CT,
Branford,Town,1685,21.98,"28,026","28,273",+0.9%,Representative town meeting,New Haven County,South Central,Totoket
Bridgeport,City,1821,16,"144,229","148,654",+3.1%,Mayor-council,Fairfield County,CT Metropolitan,Pequonock
Bridgewater,Town,1856,16.23,"1,727","1,662",−3.8%,Town meeting,Litchfield County,Western CT,
Bristol,City,1785,26.51,"60,477","60,833",+0.6%,Mayor-council,Hartford County,Naugatuck Valley,
Brookfield,Town,1788,19.8,"16,452","17,528",+6.5%,Town meeting,Fairfield County,Western CT,
Brooklyn,Town,1786,28.97,"8,210","8,450",+2.9%,Town meeting,Windham County,Northeast CT,
Burlington,Town,1806,29.8,"9,301","9,519",+2.3%,Town meeting,Hartford County,Northwest Hills,
Canaan,Town,1739,32.95,"1,234","1,080",−12.5%,Town meeting,Litchfield County,Northwest Hills,
Canterbury,Town,1703,39.9,"5,132","5,045",−1.7%,Town meeting,Windham County,Northeast CT,Peagscomsueck
Canton,Town,1806,24.57,"10,292","10,124",−1.6%,Town meeting,Hartford County,Capitol Region,
Chaplin,Town,1822,19.43,"2,305","2,151",−6.7%,Town meeting,Windham County,Northeast CT,
Cheshire,Town,1780,32.91,"29,261","28,733",−1.8%,Council-manager,New Haven County,Naugatuck Valley,
Chester,Town,1836,16.03,"3,994","3,749",−6.1%,Town meeting,Middlesex County,Lower CT River,
Clinton,Town,1838,16.28,"13,260","13,185",−0.6%,Town meeting,Middlesex County,Lower CT River,
Colchester,Town,1698,49.06,"16,068","15,555",−3.2%,Town meeting,New London County,Southeastern CT,
Colebrook,Town,1779,31.47,"1,485","1,361",−8.4%,Town meeting,Litchfield County,Northwest Hills,
Columbia,Town,1804,21.36,"5,485","5,272",−3.9%,Town meeting,Tolland County,Capitol Region,
Cornwall,Town,1740,46.01,"1,420","1,567",+10.4%,Town meeting,Litchfield County,Northwest Hills,
Coventry,Town,1712,37.72,"12,435","12,235",−1.6%,Council-manager,Tolland County,Capitol Region,
Cromwell,Town,1851,12.39,"14,005","14,225",+1.6%,Town meeting,Middlesex County,Lower CT River,
Danbury,City,1687,42.11,"80,893","86,518",+7.0%,Mayor-council,Fairfield County,Western CT,Pahquioque
Darien,Town,1820,12.86,"20,732","21,499",+3.7%,Representative town meeting,Fairfield County,Western CT,
Deep River,Town,1635,13.55,"4,629","4,415",−4.6%,Town meeting,Middlesex County,Lower CT River,Pattaquasset
Derby,City,1675,4.98,"12,902","12,325",−4.5%,Mayor-council,New Haven County,Naugatuck Valley,Paugasset
Durham,Town,1708,23.6,"7,388","7,152",−3.2%,Town meeting,Middlesex County,Lower CT River,Coginchaug
